ticker,company_name,sector,year,S_stated,A_density,A_explicit,A_dei_qual,A_targets,A_actual,S_pct,A_pct,gap,authenticity,alignment_category
MPC,Marathon Petroleum Corporation,Energy,2020,0.6666666666666666,0.105,0,0.0,0,0.02625,82.6086956521739,6.521739130434782,-76.08695652173913,23.913043478260875,GREENWASH-RISK (over-claim)
MPC,Marathon Petroleum Corporation,Energy,2021,0.0,0.37566666666666665,1,0.5,0,0.46891666666666665,23.863636363636363,70.45454545454545,46.59090909090909,53.40909090909091,STEALTH (under-claim)
MPC,Marathon Petroleum Corporation,Energy,2022,0.3333333333333333,1.0,1,0.5,0,0.625,46.73913043478261,91.30434782608695,44.565217391304344,55.434782608695656,STEALTH (under-claim)
MPC,Marathon Petroleum Corporation,Energy,2023,0.6666666666666666,1.0,1,0.0,0,0.5,78.88888888888889,86.66666666666667,7.777777777777786,92.22222222222221,ALIGNED
MPC,Marathon Petroleum Corporation,Energy,2024,0.6666666666666666,1.0,1,0.0,0,0.5,88.37209302325581,89.53488372093024,1.1627906976744242,98.83720930232558,ALIGNED
OXY,Occidental Petroleum Corporation,Energy,2016,0.0,0.0,1,0.0,0,0.25,22.5,28.749999999999996,6.2499999999999964,93.75,ALIGNED
OXY,Occidental Petroleum Corporation,Energy,2017,0.6666666666666666,0.4066666666666666,1,0.0,0,0.3516666666666667,91.02564102564102,76.92307692307693,-14.102564102564088,85.89743589743591,ALIGNED
OXY,Occidental Petroleum Corporation,Energy,2018,0.6666666666666666,0.23633333333333334,1,0.0,0,0.3090833333333333,87.77777777777777,60.0,-27.77777777777777,72.22222222222223,GREENWASH-RISK (over-claim)
OXY,Occidental Petroleum Corporation,Energy,2019,0.0,0.2776666666666667,1,0.0,0,0.3194166666666667,23.333333333333332,66.66666666666666,43.33333333333333,56.66666666666667,STEALTH (under-claim)
OXY,Occidental Petroleum Corporation,Energy,2020,0.3333333333333333,0.0,1,0.0,0,0.25,56.52173913043478,17.391304347826086,-39.130434782608695,60.869565217391305,GREENWASH-RISK (over-claim)
OXY,Occidental Petroleum Corporation,Energy,2021,0.3333333333333333,0.5566666666666666,1,0.0,0,0.38916666666666666,60.22727272727273,50.0,-10.227272727272727,89.77272727272728,ALIGNED
OXY,Occidental Petroleum Corporation,Energy,2022,0.3333333333333333,0.4013333333333333,1,0.5,0,0.47533333333333333,46.73913043478261,73.91304347826086,27.17391304347825,72.82608695652175,STEALTH (under-claim)
OXY,Occidental Petroleum Corporation,Energy,2023,0.3333333333333333,0.6363333333333333,1,0.0,0,0.40908333333333335,53.333333333333336,60.0,6.666666666666664,93.33333333333334,ALIGNED
OXY,Occidental Petroleum Corporation,Energy,2024,0.3333333333333333,0.0,1,0.0,0,0.25,56.97674418604651,8.13953488372093,-48.837209302325576,51.162790697674424,GREENWASH-RISK (over-claim)
PSX,Phillips 66,Energy,2017,0.3333333333333333,0.043666666666666666,1,0.0,0,0.2609166666666667,62.82051282051282,43.58974358974359,-19.230769230769226,80.76923076923077,GREENWASH-RISK (over-claim)
PSX,Phillips 66,Energy,2018,0.0,0.0,1,0.0,0,0.25,26.666666666666668,22.22222222222222,-4.444444444444446,95.55555555555556,ALIGNED
PSX,Phillips 66,Energy,2019,0.0,0.0,1,0.0,0,0.25,23.333333333333332,26.666666666666668,3.3333333333333357,96.66666666666666,ALIGNED
PSX,Phillips 66,Energy,2020,0.3333333333333333,0.0,1,0.0,0,0.25,56.52173913043478,17.391304347826086,-39.130434782608695,60.869565217391305,GREENWASH-RISK (over-claim)
PSX,Phillips 66,Energy,2021,0.0,0.232,0,0.0,0,0.058,23.863636363636363,4.545454545454546,-19.318181818181817,80.68181818181819,GREENWASH-RISK (over-claim)
PSX,Phillips 66,Energy,2022,0.3333333333333333,0.217,0,0.0,0,0.05425,46.73913043478261,6.521739130434782,-40.21739130434783,59.78260869565217,GREENWASH-RISK (over-claim)
SLB,SLB (Schlumberger),Energy,2016,0.6666666666666666,0.10800000000000001,1,0.0,0,0.277,91.25,55.00000000000001,-36.24999999999999,63.75000000000001,GREENWASH-RISK (over-claim)
SLB,SLB (Schlumberger),Energy,2017,0.6666666666666666,0.10833333333333334,1,0.0,0,0.27708333333333335,91.02564102564102,61.53846153846154,-29.487179487179482,70.51282051282053,GREENWASH-RISK (over-claim)
SLB,SLB (Schlumberger),Energy,2018,0.3333333333333333,0.10733333333333334,1,0.0,0,0.2768333333333333,65.55555555555556,44.44444444444444,-21.111111111111114,78.88888888888889,GREENWASH-RISK (over-claim)
